,loudness
458,-4.234
459,-3.863
460,-8.306
461,-5.792
462,-10.551
463,-4.75
464,-3.793
465,-6.978
466,-8.9
467,-9.736
468,-6.914
469,-2.655
470,-7.323
471,-7.355
472,-7.355
473,-11.265
474,-5.474
475,-9.292
476,-6.145
477,-8.744
478,-4.201
479,-6.13
480,-7.634
481,-5.453
482,-4.884
483,-13.424
484,-6.525
485,-4.713
486,-7.179
487,-2.864
488,-8.045
489,-7.809
490,-6.633
491,-3.37
492,-4.047
493,-6.93
494,-6.457
495,-5.177
496,-6.633
497,-6.633
498,-5.153
499,-9.238
500,-7.23
501,-6.019
502,-7.358
503,-13.147
504,-8.21
505,-5.667
506,-4.653
507,-7.405
508,-3.625
509,-5.118
510,-5.118
511,-5.978
512,-4.009
513,-5.978
514,-4.009
515,-5.785
516,-8.823
517,-6.142
518,-7.909
519,-6.809
520,-6.745
521,-6.238
522,-4.443
523,-5.181
524,-7.544
525,-2.939
526,-7.339
527,-7.055
528,-5.415
529,-3.87
530,-6.274
531,-9.892
532,-5.43
533,-4.508
534,-5.099
535,-7.043
536,-7.108
537,-5.009
538,-7.395
539,-8.84
540,-4.045
541,-8.156
542,-9.008
543,-5.905
544,-10.6
545,-6.788
546,-5.266
547,-11.212
548,-7.226
549,-3.626
550,-4.575
551,
552,-10.358
553,-7.485
554,-7.635
555,-3.813
556,-6.97
557,-4.972
558,-7.518
559,-6.63
560,-6.542
561,-6.349
562,-5.515
563,-6.807
564,-7.092
565,-5.077
566,-7.26
567,-7.486
568,-7.507
569,-7.146
570,-5.831
571,-5.397
572,-5.266
573,-7.738
574,-9.373
575,-7.16
576,-7.861
577,-10.589
578,-6.688
579,-8.446
580,-2.286
581,-5.68
582,-6.368
583,-4.172
584,-4.51
585,-5.122
586,-6.346
587,-3.962
588,-7.258
589,-8.316
590,-3.618
591,-7.622
592,-5.582
593,-6.474
594,-2.806
595,-7.883
596,-6.794
597,-10.355
598,-6.087
599,-7.033
600,-5.005
601,-5.213
602,-8.476
603,-6.987
604,-4.566
605,-5.884
606,-5.105
607,-5.467
608,-1.398
609,-3.493
610,-7.397
611,-9.212
612,-8.56
613,-5.873
614,-4.633
615,-7.429
616,-2.235
617,-5.249
618,-6.338
619,-6.332
620,-6.136
621,-4.389
622,-4.425
623,-8.084
624,-5.541
625,-4.234
626,-5.498
627,-5.333
628,-6.899
629,-6.082
630,-5.899
631,-5.415
632,-6.644
633,-7.44
634,-8.575
635,-6.068
636,-3.804
637,-4.8
638,-3.253
639,-3.785
640,-6.941
641,-9.74
642,-8.206
643,-4.961
644,-7.353
645,-6.667
646,-8.012
647,-4.156
648,-7.32
649,-8.053
