,acousticness
493,0.00388
494,0.0557
495,0.325
496,0.0183
497,0.0183
498,0.334
499,0.741
500,0.349
501,0.0229
502,0.0484
503,0.0186
504,0.0738
505,0.137
506,0.156
507,0.122
508,0.0207
509,0.000858
510,0.000858
511,0.389
512,0.109
513,0.389
514,0.109
515,0.00944
516,0.0335
517,0.25
518,0.207
519,0.0123
520,0.333
521,0.0298
522,0.229
523,0.0172
524,0.15
525,0.653
526,0.015
527,0.0151
528,0.173
529,0.0771
530,0.21
531,0.134
532,0.107
533,0.00779
534,0.132
535,0.0144
536,0.235
537,0.00169
538,0.0394
539,0.257
540,0.101
541,0.279
542,0.157
543,0.0694
544,0.296
545,0.274
546,0.194
547,0.733
548,0.0769
549,0.155
550,0.162
551,
552,0.0267
553,0.00413
554,0.141
555,0.0226
556,0.0179
557,0.331
558,0.356
559,0.019
560,0.248
561,0.0141
562,0.0414
563,0.123
564,0.0457
565,0.0246
566,0.413
567,0.0127
568,0.629
569,0.00578
570,0.0706
571,0.173
572,0.194
573,0.0399
574,0.111
575,0.11
576,0.0806
577,0.295
578,0.144
579,0.0222
580,0.0185
581,0.118
582,0.0739
583,0.0854
584,0.0245
585,0.328
586,0.0571
587,0.119
588,0.00815
589,0.455
590,0.0545
591,0.462
592,0.235
593,0.0891
594,0.107
595,0.0226
596,0.0415
597,0.0466
598,0.24
599,0.333
600,0.0835
601,0.28
602,0.0477
603,0.157
604,0.00244
605,0.0887
606,0.00135
607,0.189
608,0.00272
609,0.00379
610,0.525
611,0.961
612,0.484
613,0.255
614,0.0736
615,0.00161
616,0.409
617,0.115
618,0.0311
619,0.105
620,0.124
621,0.25
622,0.0827
623,0.541
624,0.218
625,0.102
626,0.0713
627,0.00245
628,0.138
629,0.0375
630,0.00488
631,0.0677
632,0.0207
633,0.648
634,0.0516
635,0.0508
636,0.114
637,0.0737
638,0.0221
639,0.00998
640,0.317
641,0.0172
642,0.188
643,0.0381
644,0.045
645,0.0138
646,0.0187
647,0.101
648,0.181
649,0.101
650,0.342
651,0.00961
652,0.138
653,0.00949
654,0.218
655,0.00614
656,0.113
657,0.114
658,0.625
659,0.133
660,0.121
661,0.16
662,0.603
663,0.371
664,0.0193
665,0.368
666,0.547
667,0.0404
668,0.0488
669,0.701
670,0.065
671,0.536
672,0.215
673,0.536
674,
675,0.524
676,0.37
677,0.301
678,0.148
679,0.307
680,0.206
681,0.0373
682,0.0614
683,0.737
684,0.0279
685,0.00244
686,0.0316
687,
688,0.582
689,0.21
690,0.251
691,0.24
692,0.398
693,0.0531
694,0.202
695,0.312
696,0.00067
697,0.105
698,0.0179
699,0.423
700,0.113
701,0.169
702,0.00534
703,0.304
704,0.0695
705,0.0513
706,0.0427
707,0.142
708,0.0849
709,0.0262
710,0.0652
711,0.15
712,0.0427
713,0.0513
714,0.0609
715,0.135
716,0.11
717,0.011
718,0.0416
719,0.00586
720,0.379
721,0.521
722,0.101
723,0.137
724,0.0108
725,0.0531
726,0.121
727,0.169
728,0.00671
729,0.0689
730,0.118
731,0.121
732,0.0849
733,0.769
734,0.243
735,0.169
736,0.0417
737,0.0287
738,0.333
739,0.373
740,0.0854
741,0.25
742,0.11
743,0.333
744,0.455
745,0.0273
746,0.0175
747,0.0678
748,0.0222
749,0.0207
750,0.137
751,0.0123
752,0.0364
753,0.0121
754,0.0331
755,0.507
756,0.0852
757,0.0129
758,0.0521
759,0.0403
760,0.0252
761,0.0193
762,0.247
763,0.0251
764,0.0579
765,0.112
766,0.0806
767,0.212
768,0.193
769,0.468
770,0.859
771,0.949
772,0.0245
773,0.139
774,0.0683
775,0.188
776,0.768
777,0.0477
778,0.0335
779,0.0107
780,0.000282
781,0.0267
782,0.00944
783,0.188
784,0.0599
785,0.0241
786,0.325
787,0.0114
788,0.0744
789,0.511
790,0.0899
791,0.0149
792,0.544
793,0.194
794,0.00947
795,0.0976
796,0.0264
797,0.552
798,0.187
799,0.00169
800,0.0164
801,0.413
802,0.0384
803,0.0127
804,0.0957
805,0.0235
806,0.0428
807,0.12
808,0.107
809,0.0957
810,0.114
811,0.368
812,0.00767
813,0.159
814,0.0493
815,0.15
816,0.0411
817,0.173
818,0.47
819,0.106
820,0.646
821,0.111
822,0.0394
823,0.00554
824,0.101
825,0.124
826,0.045
827,0.135
828,0.293
829,0.0609
830,0.0252
831,0.333
832,0.0187
833,0.0545
834,0.0876
835,0.145
836,0.18
837,0.0009
838,
839,0.189
840,0.205
841,0.234
842,0.000244
843,0.0432
844,0.616
845,0.128
846,0.0678
847,0.0455
848,0.267
849,0.104
850,
851,0.268
852,0.00111
853,0.0142
854,0.171
855,0.077
856,0.0367
857,0.0651
858,0.194
859,
860,0.00418
861,0.207
862,0.137
863,0.00272
864,0.274
865,0.00161
866,0.179
867,0.169
868,0.0149
869,0.0431
870,0.15
871,0.0246
872,0.00513
873,0.257
874,0.0115
875,0.58
876,0.696
877,0.0133
878,0.381
879,0.0403
880,0.0509
881,0.0185
882,0.0128
883,0.0414
884,0.153
885,0.0111
886,0.00158
887,0.235
888,0.0629
889,0.133
890,0.24
891,0.00081
892,0.0706
893,0.0251
894,0.585
895,0.0507
896,0.206
897,0.365
898,0.255
899,0.0183
900,0.12
901,0.194
902,0.0677
903,0.74
904,0.211
905,0.149
906,0.0327
907,0.36
908,0.0836
909,0.516
910,0.0151
911,0.00608
912,0.0599
913,0.129
914,0.0363
915,0.0737
916,0.25
917,0.0218
918,0.0421
919,0.349
920,0.00689
921,0.073
922,0.0459
923,0.0104
924,0.126
925,0.0129
926,0.218
927,0.0847
928,0.0567
929,0.334
930,0.465
931,0.0985
932,0.308
933,0.0403
934,0.114
935,0.0622
