,energy
534,0.551
535,0.667
536,0.732
537,0.567
538,0.587
539,0.501
540,0.502
541,0.41
542,0.524
543,0.554
544,0.391
545,0.579
546,0.625
547,0.4
548,0.529
549,0.867
550,0.814
551,
552,0.515
553,0.644
554,0.364
555,0.82
556,0.526
557,0.696
558,0.674
559,0.809
560,0.497
561,0.539
562,0.651
563,0.602
564,0.597
565,0.733
566,0.501
567,0.838
568,0.449
569,0.493
570,0.609
571,0.683
572,0.625
573,0.543
574,0.552
575,0.756
576,0.44
577,0.708
578,0.576
579,0.617
580,0.859
581,0.689
582,0.573
583,0.702
584,0.848
585,0.692
586,0.595
587,0.789
588,0.647
589,0.553
590,0.684
591,0.558
592,0.731
593,0.909
594,0.743
595,0.66
596,0.597
597,0.521
598,0.685
599,0.435
600,0.602
601,0.566
602,0.636
603,0.646
604,0.492
605,0.74
606,0.561
607,0.781
608,0.983
609,0.985
610,0.607
611,0.405
612,0.178
613,0.754
614,0.724
615,0.756
616,0.828
617,0.746
618,0.543
619,0.457
620,0.52
621,0.772
622,0.618
623,0.518
624,0.656
625,0.701
626,0.637
627,0.655
628,0.619
629,0.741
630,0.648
631,0.686
632,0.792
633,0.398
634,0.4
635,0.569
636,0.739
637,0.608
638,0.853
639,0.529
640,0.599
641,0.533
642,0.631
643,0.579
644,0.727
645,0.62
646,0.55
647,0.771
648,0.619
649,0.561
650,0.594
651,0.599
652,0.576
653,0.703
654,0.656
655,0.727
656,0.652
657,0.845
658,0.639
659,0.714
660,0.872
661,0.775
662,0.495
663,0.694
664,0.623
665,0.464
666,0.683
667,0.744
668,0.661
669,0.802
670,0.73
671,0.628
672,0.804
673,0.544
674,
675,0.663
676,0.47
677,0.571
678,0.64
679,0.674
680,0.504
681,0.339
682,0.594
683,0.412
684,0.869
685,0.692
686,0.604
687,
688,0.313
689,0.601
690,0.812
691,0.571
692,0.464
693,0.608
694,0.467
695,0.473
696,0.828
697,0.67
698,0.695
699,0.734
700,0.526
701,0.407
702,0.59
703,0.743
704,0.594
705,0.864
706,0.626
707,0.684
708,0.698
709,0.626
710,0.604
711,0.509
712,0.626
713,0.864
714,0.569
715,0.676
716,0.756
717,0.574
718,0.696
719,0.74
720,0.65
721,0.303
722,0.771
723,0.759
724,0.687
725,0.628
726,0.73
727,0.651
728,0.699
729,0.538
730,0.689
731,0.73
732,0.713
733,0.412
734,0.472
735,0.651
736,0.625
737,0.645
738,0.592
739,0.698
740,0.702
741,0.658
742,0.756
743,0.435
744,0.553
745,0.718
746,0.76
747,0.763
748,0.617
749,0.65
750,0.759
751,0.659
752,0.721
753,0.418
754,0.502
755,0.544
756,0.662
757,0.567
758,0.603
759,0.786
760,0.649
761,0.623
762,0.69
763,0.511
764,0.82
765,0.731
766,0.44
767,0.805
768,0.52
769,0.774
770,0.0279
771,0.0668
772,0.848
773,0.852
774,0.45
775,0.567
776,0.197
777,0.597
778,0.496
779,0.793
780,0.621
781,0.515
782,0.497
783,0.573
784,0.432
785,0.953
786,0.752
787,0.582
788,0.95
789,0.412
790,0.583
791,0.467
792,0.479
793,0.625
794,0.789
795,0.596
796,0.807
797,0.631
798,0.662
799,0.83
800,0.84
801,0.501
802,0.881
803,0.838
804,0.592
805,0.622
806,0.581
807,0.493
808,0.532
809,0.463
810,0.845
811,0.609
812,0.526
813,0.556
814,0.575
815,0.776
816,0.543
817,0.481
818,0.715
819,0.701
820,0.26
821,0.591
822,0.587
823,0.784
824,0.502
825,0.804
826,0.575
827,0.634
828,0.56
829,0.569
830,0.741
831,0.592
832,0.52
833,0.684
834,0.633
835,0.745
836,0.802
837,0.981
838,
839,0.787
840,0.657
841,0.766
842,0.52
843,0.731
844,0.245
845,0.772
846,0.763
847,0.723
848,0.644
849,0.586
850,
851,0.764
852,0.524
853,0.585
854,0.62
855,0.479
856,0.785
857,0.844
858,0.917
859,
860,0.46
861,0.694
862,0.682
863,0.983
864,0.587
865,0.756
866,0.504
867,0.651
868,0.467
869,0.438
870,0.692
871,0.733
872,0.73
873,0.535
874,0.476
875,0.34
876,0.458
877,0.632
878,0.782
879,0.786
880,0.578
881,0.58
882,0.706
883,0.651
884,0.918
885,0.651
886,0.512
887,0.732
888,0.721
889,0.632
890,0.685
891,0.515
892,0.609
893,0.511
894,0.156
895,0.782
896,0.504
897,0.566
898,0.754
899,0.739
900,0.399
901,0.625
902,0.686
903,0.389
904,0.758
905,0.428
906,0.457
907,0.589
908,0.61
909,0.582
910,0.665
911,0.736
912,0.432
913,0.679
914,0.499
915,0.608
916,0.861
917,0.562
918,0.658
919,0.338
920,0.983
921,0.342
922,0.835
923,0.493
924,0.469
925,0.567
926,0.656
927,0.728
928,0.491
929,0.526
930,0.561
931,0.723
932,0.612
933,0.519
934,0.595
935,0.847
936,0.93
937,0.457
938,0.539
939,0.635
940,0.523
941,0.756
942,0.651
943,0.497
944,0.631
945,0.539
946,0.603
947,0.585
948,0.498
949,0.261
950,0.661
951,0.76
952,0.111
953,0.509
954,0.704
955,0.385
956,0.632
957,0.626
958,0.559
959,0.869
960,0.609
961,0.93
962,0.369
963,0.427
964,0.76
965,0.474
966,0.715
967,0.574
968,0.554
969,0.724
970,0.607
971,0.721
972,0.562
973,0.526
974,0.803
975,0.811
976,0.654
977,0.52
978,0.585
979,0.692
980,0.596
981,0.518
982,0.493
983,0.353
984,0.751
985,0.559
986,0.703
987,
988,0.803
989,0.562
990,0.681
991,0.662
992,0.453
993,0.687
994,0.654
995,0.594
996,0.492
997,0.518
998,0.567
999,0.736
1000,0.859
1001,0.728
1002,0.761
1003,
1004,0.65
1005,0.771
1006,0.619
1007,0.604
1008,0.446
1009,0.659
1010,0.602
1011,0.673
1012,0.934
1013,0.603
1014,0.606
1015,0.58
1016,0.67
1017,0.606
1018,0.762
1019,0.756
1020,0.618
1021,0.582
1022,0.496
1023,0.62
1024,0.663
1025,0.621
1026,0.72
1027,0.369
1028,0.492
1029,0.626
1030,0.836
1031,0.751
1032,0.774
1033,0.795
1034,0.623
1035,0.728
1036,0.805
1037,0.545
1038,0.583
1039,0.64
1040,0.623
1041,0.636
1042,0.554
1043,0.56
1044,0.578
1045,0.493
1046,0.714
1047,0.594
1048,0.783
1049,0.714
1050,0.684
1051,0.542
1052,0.12
1053,0.695
1054,0.497
1055,0.531
1056,0.768
1057,0.592
1058,0.67
1059,0.44
1060,0.464
1061,0.921
1062,0.435
1063,0.731
1064,0.676
1065,0.664
1066,0.834
1067,0.945
1068,0.577
1069,0.618
1070,0.57
1071,0.597
1072,0.454
1073,0.642
1074,0.502
1075,0.678
1076,0.949
1077,0.573
