,liveness
4635,0.086
4636,0.0966
4637,0.247
4638,0.1
4639,0.1
4640,0.119
4641,0.0899
4642,0.109
4643,0.165
4644,0.105
4645,0.11
4646,0.189
4647,0.116
4648,0.126
4649,0.193
4650,0.0992
4651,0.147
4652,0.183
4653,0.229
4654,0.12
4655,0.193
4656,0.527
4657,0.527
4658,0.0649
4659,0.0756
4660,0.159
4661,0.242
4662,0.216
4663,0.0546
4664,0.0546
4665,0.0546
4666,0.135
4667,0.165
4668,0.242
4669,0.082
4670,0.169
4671,0.356
4672,0.0852
4673,0.0943
4674,0.151
4675,0.103
4676,0.057
4677,0.141
4678,0.103
4679,0.0896
4680,0.338
4681,0.131
4682,0.383
4683,0.0627
4684,0.121
4685,0.102
4686,0.372
4687,0.379
4688,0.144
4689,0.107
4690,0.113
4691,0.0866
4692,0.229
4693,0.157
4694,0.0906
4695,0.219
4696,0.74
4697,0.136
4698,0.489
4699,0.352
4700,0.118
4701,0.111
4702,0.111
4703,0.785
4704,
4705,0.281
4706,0.126
4707,0.103
4708,0.368
4709,0.105
4710,0.114
4711,0.166
4712,0.0726
4713,0.105
4714,0.123
4715,0.1
4716,0.104
4717,0.382
4718,0.113
4719,0.0856
4720,0.0946
4721,0.166
4722,0.135
4723,0.0669
4724,0.123
4725,0.124
4726,0.134
4727,0.139
4728,0.0649
4729,0.11
4730,0.0798
4731,0.513
4732,0.107
4733,0.63
4734,0.0942
4735,0.0932
4736,0.158
4737,0.074
4738,0.0976
4739,0.281
4740,0.382
4741,0.13
4742,0.175
4743,0.132
4744,0.13
4745,0.152
4746,0.742
4747,0.111
4748,0.111
4749,0.111
4750,0.148
4751,0.361
4752,0.115
4753,0.198
4754,0.132
4755,0.143
4756,0.0571
4757,0.119
4758,0.119
4759,0.132
4760,0.0725
4761,0.199
4762,0.114
4763,0.235
4764,0.145
4765,0.14
4766,0.208
4767,0.253
4768,0.323
4769,0.146
4770,0.253
4771,0.14
4772,0.341
4773,0.18
4774,0.41
4775,0.14
4776,0.132
4777,0.0692
4778,0.167
4779,0.158
4780,0.116
4781,0.113
4782,0.158
4783,0.103
4784,0.12
4785,0.143
4786,0.095
4787,0.0838
4788,0.158
4789,0.224
4790,0.242
4791,0.12
4792,0.0817
4793,0.106
4794,0.0462
4795,0.121
4796,0.0575
4797,0.0896
4798,
4799,0.0521
4800,0.229
4801,0.14
4802,0.114
4803,0.121
4804,0.0927
4805,0.119
4806,0.145
4807,0.166
4808,0.138
4809,0.109
4810,0.381
4811,0.252
4812,0.105
4813,0.128
4814,0.0899
4815,0.109
4816,0.0611
4817,0.156
4818,0.119
4819,0.129
4820,0.135
4821,0.744
4822,0.21
4823,0.0871
4824,0.341
4825,0.101
4826,0.207
4827,0.118
4828,0.103
4829,0.331
4830,0.0982
4831,0.338
4832,0.119
4833,0.126
4834,0.133
4835,0.132
4836,0.155
4837,0.123
4838,0.126
4839,0.334
4840,0.342
4841,0.1
4842,0.196
4843,0.158
4844,0.165
4845,0.0898
4846,0.106
4847,0.124
4848,0.114
4849,0.0823
4850,0.0582
4851,0.0619
4852,0.129
4853,0.112
4854,0.105
4855,0.124
4856,0.155
4857,0.0823
4858,0.0582
4859,0.666
4860,0.211
4861,0.168
4862,0.107
4863,0.13
4864,0.229
4865,0.181
4866,0.425
4867,0.195
4868,0.5
4869,0.145
4870,0.0864
4871,0.227
4872,0.118
4873,0.249
4874,0.23
4875,0.204
4876,0.121
4877,0.148
4878,0.183
4879,0.368
4880,0.0993
4881,0.0694
4882,0.0897
4883,
4884,0.298
4885,0.0571
4886,0.175
4887,0.34
4888,0.0924
4889,0.36
4890,0.0857
4891,0.272
4892,0.166
4893,0.133
4894,0.133
4895,0.101
4896,0.0971
4897,0.136
4898,0.408
4899,0.122
4900,0.313
4901,0.108
4902,0.136
4903,0.0943
4904,0.13
4905,0.665
4906,0.357
4907,0.0863
4908,
4909,0.129
4910,0.795
4911,0.112
4912,0.329
4913,0.238
4914,0.224
4915,0.129
4916,0.109
4917,0.628
4918,0.0936
4919,0.134
4920,0.179
4921,0.0817
4922,0.189
4923,0.101
4924,0.276
4925,0.166
4926,0.077
4927,0.086
4928,0.0917
4929,0.078
4930,0.13
4931,0.114
4932,0.0952
4933,0.144
4934,0.138
4935,0.126
4936,0.113
4937,0.299
4938,0.0753
4939,0.0753
4940,0.231
4941,0.17
4942,0.117
4943,0.119
4944,0.119
4945,0.11
4946,0.187
4947,0.087
4948,0.087
4949,0.113
4950,0.196
4951,0.144
4952,0.11
4953,0.0898
4954,0.334
4955,0.144
4956,0.0939
4957,0.135
4958,0.189
4959,0.118
4960,0.115
4961,0.281
4962,0.195
4963,0.0726
4964,0.194
4965,0.107
4966,0.0952
4967,0.126
4968,0.103
4969,0.247
4970,0.132
4971,0.235
4972,0.247
4973,0.0848
4974,0.143
4975,0.178
4976,0.0896
4977,0.272
4978,0.129
4979,0.074
4980,0.0755
4981,0.0981
4982,0.149
4983,0.0947
4984,0.464
4985,0.113
4986,0.257
4987,0.114
4988,0.213
4989,0.22
4990,0.094
4991,0.41
4992,0.34
4993,0.134
4994,0.219
4995,0.116
4996,0.106
4997,0.359
4998,0.163
4999,0.0668
5000,0.143
5001,0.111
5002,0.128
5003,0.22
5004,0.372
5005,0.101
5006,0.291
5007,0.105
5008,0.0772
5009,0.226
5010,0.35
5011,0.0755
5012,0.0947
5013,0.41
5014,0.46
5015,0.192
5016,0.208
5017,0.144
5018,0.0534
5019,0.0534
5020,0.11
5021,0.151
5022,0.11
5023,0.113
5024,0.213
5025,0.213
5026,0.167
5027,0.406
5028,0.189
5029,0.104
5030,0.362
5031,0.621
5032,0.165
5033,0.109
5034,0.104
5035,0.08
5036,0.139
5037,0.103
5038,0.308
5039,0.165
5040,0.163
5041,0.1
5042,0.111
5043,0.0856
5044,0.178
5045,0.0863
5046,0.187
5047,0.103
5048,0.0658
5049,0.29
5050,0.151
5051,0.0897
5052,0.182
5053,0.278
5054,0.355
5055,0.603
5056,0.575
5057,0.111
5058,0.379
5059,0.482
5060,0.396
5061,0.156
5062,0.115
5063,0.118
5064,0.107
5065,0.108
5066,0.138
5067,0.101
5068,0.108
5069,0.0923
5070,0.118
5071,0.192
5072,0.272
5073,0.143
5074,0.382
5075,0.114
5076,0.096
5077,0.0703
5078,0.348
5079,0.126
5080,0.281
5081,0.114
5082,0.133
5083,0.193
5084,0.162
5085,0.909
5086,0.298
5087,0.135
5088,0.0914
5089,0.113
5090,0.11
5091,0.099
5092,0.114
5093,0.141
5094,0.0703
5095,0.119
5096,0.575
5097,0.323
5098,0.344
5099,0.138
5100,0.135
5101,0.465
5102,0.109
5103,0.29
5104,0.114
5105,0.166
5106,0.164
5107,
5108,0.056
5109,0.204
5110,0.107
5111,0.341
5112,0.603
5113,0.341
5114,0.0898
5115,0.155
5116,0.179
5117,0.113
5118,0.892
5119,0.135
5120,0.35
5121,
5122,0.33
5123,0.116
5124,0.137
5125,0.252
5126,0.909
5127,0.137
5128,0.114
5129,0.909
5130,0.183
5131,0.114
5132,0.199
5133,0.11
5134,0.095
5135,0.0756
5136,0.247
5137,0.146
5138,0.126
5139,0.154
5140,0.111
5141,0.341
5142,0.166
5143,0.119
5144,0.119
5145,0.252
5146,0.101
5147,0.0916
5148,0.133
5149,0.154
5150,0.213
5151,0.191
5152,0.191
5153,0.106
5154,0.169
5155,0.111
5156,0.575
5157,0.1
5158,0.109
5159,0.375
5160,0.132
5161,0.229
5162,0.144
5163,0.121
5164,0.124
5165,0.0942
5166,0.0698
5167,0.193
5168,0.261
5169,0.213
5170,0.121
5171,0.0852
5172,0.183
5173,0.0984
5174,0.126
5175,0.0832
5176,0.154
5177,0.133
5178,0.082
5179,0.117
5180,0.0816
5181,0.108
5182,0.195
5183,0.195
5184,0.109
5185,0.296
5186,0.0668
5187,0.241
5188,0.159
5189,0.077
5190,0.0971
5191,0.108
5192,0.095
5193,0.056
5194,0.119
5195,0.34
5196,0.097
5197,0.0795
5198,0.134
5199,0.143
5200,0.112
5201,0.0844
5202,0.102
5203,0.334
5204,0.0851
5205,0.477
5206,0.108
5207,0.166
5208,0.152
5209,0.114
5210,0.114
5211,0.2
5212,0.126
5213,0.104
5214,0.103
5215,0.157
5216,0.151
5217,0.274
5218,0.0947
5219,0.119
5220,0.706
5221,0.311
5222,0.124
5223,0.108
5224,0.0554
5225,0.092
5226,0.0856
5227,0.124
5228,0.101
5229,0.318
5230,0.0976
5231,0.138
5232,0.0898
5233,0.0711
5234,0.0852
5235,0.64
5236,0.5
5237,0.158
5238,0.132
5239,0.276
5240,0.207
5241,0.0899
5242,0.106
5243,0.429
5244,0.0622
5245,0.167
5246,0.34
5247,0.1
5248,0.118
5249,0.344
5250,0.1
5251,0.115
5252,0.0932
5253,0.146
5254,0.141
5255,0.193
5256,0.126
5257,0.164
5258,0.126
5259,0.0979
5260,0.195
5261,0.197
5262,0.122
5263,0.111
5264,0.193
5265,0.127
5266,0.123
5267,
5268,0.0662
5269,0.132
5270,0.165
5271,0.195
5272,0.0917
5273,0.0851
5274,0.148
5275,0.224
5276,0.342
5277,0.116
5278,0.131
5279,0.0947
5280,0.148
5281,0.0571
5282,0.167
5283,0.196
5284,0.143
5285,0.1
5286,0.141
5287,0.304
5288,0.342
5289,0.362
5290,0.118
5291,0.104
5292,0.1
5293,0.248
5294,0.123
5295,0.223
5296,0.281
5297,0.0902
5298,0.238
5299,0.208
5300,0.134
5301,0.338
5302,0.0947
5303,0.123
5304,0.706
5305,0.144
5306,0.106
5307,0.368
5308,0.368
5309,0.344
5310,0.104
5311,0.0818
5312,0.219
5313,0.114
5314,0.442
5315,0.159
5316,0.151
5317,0.101
5318,0.148
5319,0.0562
5320,0.108
5321,0.0994
5322,0.247
5323,0.116
5324,0.135
5325,0.158
5326,0.0916
5327,0.249
5328,0.0856
5329,0.274
5330,0.091
5331,0.568
5332,0.362
5333,0.115
5334,0.497
5335,0.1
5336,0.096
5337,0.167
5338,0.0932
5339,0.107
5340,0.107
5341,0.0856
5342,0.114
5343,0.224
5344,0.122
5345,0.11
5346,0.359
5347,0.109
5348,0.106
5349,0.117
5350,0.148
5351,0.102
5352,0.444
5353,0.209
5354,0.383
5355,0.348
5356,0.464
5357,0.0899
5358,0.417
5359,0.133
5360,0.0863
5361,0.121
5362,0.318
5363,0.0866
5364,
5365,0.527
5366,0.0884
5367,0.0884
5368,0.144
5369,0.189
5370,0.0916
5371,0.115
5372,0.0816
5373,0.527
5374,0.107
5375,0.241
5376,0.126
5377,0.226
5378,0.329
5379,0.336
5380,0.345
5381,0.121
5382,0.129
5383,0.375
5384,0.115
5385,0.151
5386,0.151
5387,0.114
5388,0.0795
5389,0.0917
5390,0.103
5391,0.102
5392,0.142
5393,0.0844
5394,0.142
5395,0.0866
5396,0.101
5397,0.091
5398,0.0668
5399,0.712
5400,0.341
5401,0.087
5402,0.341
5403,0.361
5404,0.0947
5405,0.123
5406,0.342
5407,0.329
5408,0.108
5409,0.152
5410,0.161
5411,
5412,0.0898
5413,0.057
5414,0.107
5415,
5416,0.119
5417,0.145
5418,0.137
5419,0.0711
5420,0.194
5421,0.0599
5422,0.126
5423,0.259
5424,0.0864
5425,0.109
5426,0.527
5427,0.227
5428,0.0705
5429,0.464
5430,0.122
5431,0.0816
5432,0.102
5433,0.119
5434,0.105
5435,0.107
5436,0.0798
5437,
5438,0.077
5439,0.118
5440,0.191
5441,0.122
5442,0.0599
5443,0.247
5444,0.137
5445,0.11
5446,0.0876
5447,0.158
5448,0.267
5449,0.327
5450,0.14
5451,0.327
5452,0.103
5453,0.108
5454,0.336
5455,0.257
5456,0.192
5457,0.114
5458,0.0662
5459,
5460,0.107
5461,0.176
5462,0.103
5463,0.334
5464,0.103
5465,0.128
5466,0.0546
5467,0.122
5468,0.0546
5469,0.0994
5470,0.176
5471,0.14
5472,0.112
5473,0.137
5474,0.081
5475,0.281
5476,0.135
5477,0.126
5478,0.11
5479,0.0863
5480,0.0916
5481,0.238
5482,0.101
5483,0.103
5484,0.154
5485,0.34
5486,0.138
5487,0.096
5488,0.538
5489,0.291
5490,0.313
5491,0.115
5492,0.126
5493,0.114
5494,0.0818
5495,0.106
5496,0.538
5497,0.291
5498,0.339
5499,0.0795
5500,0.109
5501,0.099
5502,0.117
5503,0.218
5504,0.174
5505,0.323
5506,0.115
5507,0.134
5508,0.0842
5509,0.1
5510,0.21
5511,0.106
5512,0.115
5513,0.444
5514,0.108
5515,0.0816
5516,0.116
5517,0.134
5518,0.131
5519,0.0768
5520,0.134
5521,0.109
5522,0.119
5523,0.123
5524,0.859
5525,0.126
5526,0.165
5527,0.117
5528,0.133
5529,0.175
5530,0.132
5531,0.417
5532,0.11
5533,0.114
5534,0.119
5535,0.126
5536,0.116
5537,0.118
5538,0.0649
5539,0.0848
5540,0.358
5541,0.0981
5542,0.132
5543,0.11
5544,0.0917
5545,0.187
5546,0.269
5547,0.195
5548,0.583
5549,0.144
5550,0.301
5551,0.0543
5552,0.336
5553,0.113
5554,0.575
5555,0.0888
5556,0.178
5557,0.316
5558,0.167
5559,0.257
5560,0.0927
5561,0.166
5562,0.106
5563,0.165
5564,0.403
5565,0.152
5566,0.111
5567,0.138
5568,0.097
5569,0.0959
5570,0.154
5571,0.154
5572,0.11
5573,0.0571
5574,0.144
5575,0.116
5576,0.127
5577,0.118
5578,0.0927
5579,0.122
5580,
5581,0.137
5582,0.734
5583,0.141
5584,0.12
5585,0.0824
5586,0.166
5587,0.119
5588,0.21
5589,0.0996
5590,0.105
5591,0.0851
5592,0.454
5593,0.114
5594,0.33
5595,0.161
5596,0.489
5597,0.272
5598,0.138
5599,0.138
5600,0.347
5601,0.338
5602,0.102
5603,0.409
5604,0.0785
5605,0.169
5606,0.101
5607,0.348
5608,
5609,0.111
5610,0.139
5611,0.138
5612,0.133
5613,0.125
5614,0.0571
5615,0.383
5616,0.348
5617,
5618,0.108
5619,0.139
5620,0.106
5621,0.133
5622,0.213
5623,0.107
5624,0.266
5625,0.151
5626,0.108
5627,0.23
5628,0.0817
5629,0.0924
5630,0.0726
5631,0.086
5632,0.127
5633,0.315
5634,0.078
5635,
5636,0.356
5637,0.151
5638,0.103
5639,0.534
5640,0.127
5641,0.143
5642,0.111
5643,0.356
5644,0.0931
5645,0.381
5646,0.534
5647,0.128
5648,0.103
5649,0.1
5650,0.106
5651,0.419
5652,0.0824
5653,0.157
5654,0.0907
5655,0.0704
5656,0.109
5657,0.176
5658,0.0992
5659,0.11
5660,0.208
5661,0.0928
5662,0.0921
5663,0.21
5664,0.114
5665,0.0978
5666,0.341
5667,0.114
5668,0.0852
5669,0.415
5670,0.097
5671,0.151
5672,0.477
5673,0.219
5674,0.152
5675,0.134
5676,0.227
5677,0.125
5678,0.0817
5679,0.442
5680,0.431
5681,0.166
5682,0.104
5683,0.219
5684,0.254
5685,0.103
5686,0.108
5687,0.221
5688,0.0981
5689,0.0471
5690,0.165
5691,0.484
5692,0.122
5693,0.1
5694,0.246
5695,0.131
5696,0.095
5697,0.124
5698,0.127
5699,0.139
5700,0.189
5701,0.246
5702,0.0895
5703,0.152
5704,0.131
5705,0.0946
5706,0.087
5707,0.189
5708,0.115
5709,0.107
5710,0.158
5711,0.111
5712,0.0756
5713,0.224
5714,0.056
5715,0.153
5716,0.131
5717,0.534
5718,0.165
5719,0.119
5720,0.12
5721,0.0619
5722,0.217
5723,0.214
5724,0.0923
5725,0.128
5726,0.11
5727,0.603
5728,0.208
5729,0.221
5730,
5731,0.0779
5732,0.164
5733,0.118
5734,0.339
5735,0.605
5736,0.0338
5737,0.151
5738,0.214
5739,0.127
5740,0.109
5741,0.0839
5742,0.117
5743,0.113
5744,0.094
5745,0.111
5746,
5747,0.111
5748,0.339
5749,0.0881
5750,0.0649
5751,0.11
5752,0.111
5753,0.102
5754,0.0632
5755,0.165
5756,0.142
5757,0.0817
5758,0.272
5759,0.357
5760,0.118
5761,0.14
5762,0.15
5763,0.138
5764,0.117
5765,0.0917
5766,0.513
5767,0.415
5768,0.106
5769,0.316
5770,0.164
5771,0.145
5772,0.145
5773,0.196
5774,0.126
5775,0.0927
5776,
5777,0.123
5778,0.163
5779,0.313
5780,0.167
5781,0.13
5782,0.13
5783,0.454
5784,0.34
5785,0.856
5786,0.158
5787,0.109
5788,0.102
5789,0.111
5790,0.291
5791,0.148
5792,0.0632
5793,0.0899
5794,0.257
5795,0.109
5796,0.163
5797,0.275
5798,0.192
5799,0.11
5800,0.106
5801,0.132
5802,0.151
5803,0.108
5804,0.131
5805,0.159
5806,0.0986
5807,0.113
5808,0.859
5809,0.12
5810,0.0805
5811,0.146
5812,0.123
5813,
5814,0.126
5815,0.334
5816,0.105
5817,0.118
5818,0.204
5819,0.403
5820,0.102
5821,0.107
5822,0.0884
5823,0.105
5824,0.091
5825,0.106
5826,0.313
5827,0.111
5828,0.413
5829,
5830,0.129
5831,0.136
5832,0.0986
5833,0.0599
5834,0.0884
5835,0.0936
5836,0.128
5837,0.359
5838,0.101
5839,0.107
5840,0.113
5841,0.336
5842,0.152
5843,0.166
5844,0.105
5845,0.362
5846,0.134
5847,0.154
5848,0.175
5849,0.366
5850,0.099
5851,0.154
5852,0.534
5853,0.198
5854,0.193
5855,0.0932
5856,0.107
5857,0.527
5858,0.527
5859,0.149
5860,0.126
5861,0.175
5862,0.119
5863,0.216
5864,0.102
5865,0.109
5866,0.119
5867,0.195
5868,0.106
5869,0.118
5870,0.0842
5871,0.114
5872,
5873,0.0979
5874,0.18
5875,0.193
5876,0.1
5877,0.252
5878,0.342
5879,0.219
5880,0.534
5881,0.102
5882,0.334
5883,0.318
5884,0.0798
5885,0.163
5886,0.274
5887,0.135
5888,0.158
5889,0.0731
5890,0.135
5891,0.111
5892,0.111
5893,0.22
5894,0.375
5895,0.411
5896,0.114
5897,0.368
5898,0.124
5899,0.135
5900,0.116
5901,
5902,0.375
5903,0.241
5904,0.368
5905,0.0731
5906,0.22
5907,0.0796
5908,0.193
5909,0.219
5910,0.102
5911,0.077
5912,0.342
5913,0.123
5914,0.163
5915,0.123
5916,0.163
5917,0.318
5918,0.374
5919,0.374
5920,0.383
5921,0.108
5922,0.107
5923,0.603
5924,0.113
5925,0.144
5926,0.117
5927,0.0976
5928,0.0898
5929,0.123
5930,0.23
5931,0.091
5932,0.431
5933,0.431
5934,
5935,0.259
5936,0.066
5937,0.107
5938,0.156
5939,0.111
5940,0.347
5941,0.172
5942,0.0705
5943,0.158
5944,0.11
5945,0.64
5946,0.164
5947,0.152
5948,0.0856
5949,0.106
5950,0.0832
5951,0.0986
5952,0.64
5953,0.134
5954,0.352
5955,0.114
5956,0.0856
5957,0.106
5958,0.117
5959,0.28
5960,0.117
5961,0.0658
5962,0.0848
5963,0.126
5964,0.359
5965,0.318
5966,0.196
5967,0.145
5968,0.0964
5969,0.133
5970,0.109
5971,0.144
5972,0.0856
5973,0.103
5974,0.104
5975,0.176
5976,0.0842
5977,0.0725
5978,
5979,0.0917
5980,0.0796
5981,0.168
5982,0.109
5983,0.706
5984,0.124
5985,0.0571
5986,0.33
5987,0.384
5988,0.112
5989,0.181
5990,0.139
5991,0.0599
5992,0.114
5993,0.0984
5994,0.298
5995,0.0928
5996,0.0992
5997,0.135
5998,0.109
5999,0.157
6000,0.622
6001,0.126
6002,0.179
6003,0.175
6004,0.34
6005,0.165
6006,0.632
6007,0.124
6008,0.108
6009,0.221
6010,0.135
6011,0.348
6012,0.415
6013,0.0844
6014,
6015,0.121
6016,0.111
6017,0.254
6018,0.103
6019,0.115
6020,0.0708
6021,0.128
6022,0.104
6023,0.785
6024,0.213
6025,0.527
6026,0.0864
6027,0.296
6028,0.114
6029,0.124
6030,0.0936
6031,0.102
6032,0.0851
6033,0.0986
6034,0.161
6035,0.0662
6036,0.246
6037,0.125
6038,0.107
6039,0.338
6040,0.111
6041,0.11
6042,0.127
6043,0.141
6044,0.109
6045,0.116
6046,0.158
6047,0.154
6048,0.345
6049,0.199
6050,0.561
6051,0.087
6052,0.138
6053,0.213
6054,0.382
6055,0.129
6056,0.106
6057,0.163
6058,0.11
6059,0.173
6060,0.08
6061,0.0649
6062,0.173
6063,0.0726
6064,0.137
6065,0.192
6066,0.358
6067,0.154
6068,0.856
6069,0.099
6070,0.121
6071,0.0906
6072,0.147
6073,0.26
6074,0.32
6075,0.0768
6076,0.104
6077,0.0863
6078,0.11
6079,0.11
6080,0.117
6081,0.679
6082,0.109
6083,0.0947
6084,0.464
6085,0.179
6086,0.0857
6087,0.0546
6088,0.489
6089,0.427
6090,0.0952
6091,0.164
6092,0.106
6093,0.148
6094,0.0534
6095,0.114
6096,0.126
6097,0.34
6098,0.146
6099,0.19
6100,0.493
6101,0.0966
6102,0.148
6103,0.112
6104,0.115
6105,0.132
6106,0.103
6107,0.196
6108,0.119
6109,0.101
6110,0.224
6111,0.132
6112,0.204
6113,0.101
6114,0.193
6115,0.0996
6116,0.14
6117,0.142
6118,0.409
6119,0.082
6120,0.091
6121,0.451
6122,0.158
6123,0.4
6124,0.13
6125,0.114
6126,0.0868
6127,0.138
6128,0.116
6129,0.158
6130,0.151
6131,0.193
6132,0.151
6133,0.125
6134,0.375
6135,0.368
6136,0.375
6137,
6138,0.114
6139,0.104
6140,
6141,0.224
6142,0.164
6143,0.0804
6144,0.178
6145,0.213
6146,0.102
6147,0.0662
6148,0.274
6149,0.0916
6150,0.165
6151,0.0562
6152,0.0729
6153,0.103
6154,0.103
6155,0.0927
6156,0.396
6157,0.187
6158,0.0579
6159,0.256
6160,0.127
6161,0.298
6162,0.199
6163,0.668
6164,0.136
6165,0.113
6166,0.192
6167,0.167
6168,0.242
6169,0.0932
6170,0.349
6171,0.1
6172,0.158
6173,0.123
6174,0.223
6175,0.107
6176,0.0959
6177,0.145
6178,0.281
6179,0.0471
6180,0.229
6181,0.223
6182,0.208
6183,0.204
6184,0.145
6185,0.163
6186,0.795
6187,0.342
6188,0.213
6189,0.425
6190,0.463
6191,0.11
6192,0.0739
6193,0.252
6194,0.095
6195,0.0599
6196,0.139
6197,0.221
6198,0.276
6199,0.323
6200,0.269
6201,0.0694
6202,0.0768
6203,
6204,0.111
6205,0.278
6206,0.0851
6207,0.077
6208,0.0866
6209,0.236
6210,0.103
6211,0.103
6212,0.241
6213,0.0694
6214,0.14
6215,0.139
6216,0.0671
6217,0.077
6218,0.161
6219,0.132
6220,0.101
6221,
6222,0.0964
6223,0.241
6224,0.101
6225,0.163
6226,0.257
6227,0.106
6228,0.219
6229,0.0731
6230,0.213
6231,0.274
6232,0.107
6233,0.254
6234,0.13
6235,0.113
6236,0.092
6237,0.152
6238,0.0739
6239,0.124
6240,0.178
6241,0.329
6242,0.115
6243,0.114
6244,0.0984
6245,0.856
6246,0.122
6247,0.119
6248,0.101
6249,0.444
6250,0.101
6251,0.432
6252,0.113
6253,0.107
6254,0.159
6255,0.0866
6256,0.665
6257,0.112
6258,0.161
6259,0.113
6260,0.112
6261,0.0981
6262,0.0896
6263,0.146
6264,0.124
6265,0.102
6266,0.106
6267,0.236
6268,
6269,0.103
6270,
6271,0.135
6272,0.087
6273,0.076
6274,0.151
6275,0.128
6276,
6277,0.0755
6278,0.0896
6279,0.118
6280,0.207
6281,0.191
6282,0.154
6283,0.106
6284,0.21
6285,0.108
6286,0.267
6287,0.0954
6288,0.111
6289,0.086
6290,0.313
6291,0.0845
6292,0.0772
6293,0.141
6294,0.095
6295,0.158
6296,0.121
6297,0.109
6298,0.109
6299,0.0731
6300,0.117
6301,0.176
6302,0.15
6303,0.107
6304,0.141
6305,0.145
6306,0.117
6307,0.138
6308,0.362
6309,0.104
6310,0.196
6311,0.115
6312,0.159
6313,0.128
6314,0.167
6315,0.0619
6316,0.382
6317,0.348
6318,0.124
6319,0.366
6320,0.34
6321,0.383
6322,0.431
6323,0.0495
6324,0.113
6325,0.785
6326,0.0505
6327,0.0884
6328,0.126
6329,0.0884
6330,0.102
6331,0.102
6332,0.0756
6333,0.156
6334,0.123
6335,0.106
6336,0.5
6337,0.0981
6338,0.135
6339,0.097
6340,0.238
6341,0.712
6342,0.238
6343,0.344
6344,0.0816
6345,0.0856
6346,0.281
6347,0.213
6348,0.11
6349,0.097
6350,0.247
6351,0.238
6352,0.213
6353,0.146
6354,0.091
6355,0.129
6356,0.734
6357,0.109
6358,0.427
6359,0.235
6360,0.226
6361,0.0632
6362,0.0899
6363,0.151
6364,0.155
6365,0.0579
6366,0.132
6367,0.0906
6368,0.357
6369,0.0921
6370,0.255
6371,0.149
6372,0.246
6373,0.115
6374,0.112
6375,0.2
6376,0.103
6377,0.126
6378,0.252
6379,0.227
6380,0.389
6381,0.406
6382,0.11
6383,0.206
6384,0.0823
6385,0.252
6386,0.181
6387,0.115
6388,0.115
6389,0.181
6390,0.214
6391,0.109
6392,0.0816
6393,0.111
6394,0.17
6395,0.14
6396,0.36
6397,0.0866
6398,0.113
6399,0.382
6400,0.0845
6401,0.114
6402,0.0899
6403,0.13
6404,0.074
6405,0.15
6406,0.33
6407,0.0462
6408,0.113
6409,0.734
6410,0.11
6411,0.077
6412,0.165
6413,0.113
6414,0.252
6415,0.119
6416,0.155
6417,0.0971
6418,0.0471
6419,0.109
6420,0.111
6421,0.111
6422,0.107
6423,0.107
6424,0.0925
6425,0.165
6426,0.0981
6427,0.0844
6428,0.213
6429,0.213
6430,0.107
6431,0.107
6432,0.252
6433,0.107
6434,0.252
6435,0.252
6436,0.107
6437,0.107
6438,0.115
6439,0.0649
6440,0.106
6441,0.329
6442,0.174
6443,0.103
6444,0.11
6445,0.0649
6446,0.174
6447,0.0838
6448,0.174
6449,0.098
6450,0.107
6451,0.111
6452,0.104
6453,0.127
6454,0.149
6455,0.856
6456,0.11
6457,0.334
6458,0.0992
6459,0.252
6460,0.107
6461,0.0731
6462,0.319
6463,0.12
6464,0.207
6465,0.712
6466,0.135
6467,0.113
6468,0.0868
6469,0.11
6470,0.103
6471,0.379
6472,0.103
6473,0.274
6474,0.21
6475,0.108
6476,0.158
6477,0.106
6478,0.344
6479,0.122
6480,0.162
6481,0.108
6482,0.142
6483,0.106
6484,0.15
6485,0.106
6486,0.0823
6487,0.21
6488,0.417
6489,0.382
6490,0.272
6491,0.605
6492,0.194
6493,0.101
6494,0.0952
6495,0.104
6496,0.116
6497,0.0982
6498,0.105
6499,0.0899
6500,0.218
6501,0.198
6502,0.269
6503,0.17
6504,
6505,0.101
6506,0.106
6507,0.11
6508,0.0857
6509,0.116
6510,0.165
6511,0.442
6512,0.513
6513,0.11
6514,0.909
6515,0.21
6516,0.0619
6517,0.191
6518,0.191
6519,0.178
6520,0.172
6521,0.0982
6522,
6523,0.0582
6524,0.132
6525,0.909
6526,0.0866
6527,0.0866
6528,0.191
6529,0.122
6530,0.0856
6531,0.126
6532,0.121
6533,0.101
6534,0.15
6535,0.247
6536,0.126
6537,0.293
6538,0.122
6539,0.189
6540,0.116
6541,0.173
6542,0.141
6543,0.0906
6544,0.329
6545,0.116
6546,0.126
6547,0.329
6548,0.156
6549,0.126
6550,0.119
6551,0.0964
6552,0.165
6553,0.323
6554,0.187
6555,0.179
6556,0.116
6557,0.167
6558,0.105
6559,0.104
6560,0.217
6561,0.08
6562,0.116
6563,0.176
6564,0.152
6565,0.155
6566,0.123
6567,0.425
6568,0.254
6569,0.134
6570,0.103
6571,0.296
6572,0.135
6573,0.183
6574,0.0804
6575,0.158
6576,0.298
6577,0.101
6578,0.119
6579,0.257
6580,0.213
6581,0.126
6582,0.575
6583,0.15
6584,0.119
6585,0.192
6586,0.318
6587,0.151
6588,0.484
6589,0.108
6590,0.086
6591,0.136
6592,0.126
6593,0.0895
6594,0.118
6595,0.145
6596,0.148
6597,0.132
6598,0.114
6599,0.115
6600,0.107
6601,0.242
