,liveness
519,0.117
520,0.124
521,0.0851
522,0.224
523,0.158
524,0.0964
525,0.101
526,0.464
527,0.219
528,0.241
529,0.105
530,0.113
531,0.14
532,0.247
533,0.126
534,0.0756
535,0.15
536,0.0705
537,0.0898
538,0.111
539,0.189
540,0.122
541,0.107
542,0.136
543,0.0521
544,0.129
545,0.102
546,0.248
547,0.334
548,0.0856
549,0.33
550,0.16
551,
552,0.0888
553,0.217
554,0.195
555,0.168
556,0.356
557,0.121
558,0.128
559,0.114
560,0.138
561,0.099
562,0.0896
563,0.0637
564,0.138
565,0.174
566,0.339
567,0.101
568,0.113
569,0.156
570,0.152
571,0.706
572,0.248
573,0.117
574,0.0952
575,0.247
576,0.198
577,0.355
578,0.154
579,0.345
580,0.22
581,0.0729
582,0.0868
583,0.374
584,0.172
585,0.153
586,0.0876
587,0.0632
588,0.095
589,0.181
590,0.104
591,0.116
592,0.223
593,0.119
594,0.183
595,0.0622
596,0.152
597,0.119
598,0.165
599,0.342
600,0.151
601,0.106
602,0.133
603,0.338
604,0.23
605,0.149
606,0.187
607,0.126
608,0.192
609,0.0471
610,0.123
611,0.0725
612,0.122
613,0.63
614,0.0631
615,0.226
616,0.104
617,0.427
618,0.154
619,0.12
620,0.131
621,0.308
622,0.542
623,0.132
624,0.115
625,0.242
626,0.0816
627,0.0817
628,0.11
629,0.114
630,0.077
631,0.193
632,0.666
633,0.115
634,0.0599
635,0.056
636,0.226
637,0.406
638,0.0986
639,0.0884
640,0.219
641,0.103
642,0.0806
643,0.253
644,0.117
645,0.15
646,0.112
647,0.135
648,0.323
649,0.0992
650,0.123
651,0.785
652,0.08
653,0.0895
654,0.115
655,0.384
656,0.107
657,0.415
658,0.121
659,0.116
660,0.103
661,0.0543
662,0.0979
663,0.109
664,0.0591
665,0.238
666,0.221
667,0.074
668,0.214
669,0.298
670,0.113
671,0.12
672,0.253
673,0.17
674,
675,0.142
676,0.115
677,0.1
678,0.209
679,0.104
680,0.417
681,0.187
682,0.1
683,0.116
684,0.344
685,0.668
686,0.091
687,
688,0.19
689,0.0928
690,0.348
691,0.291
692,0.603
693,0.078
694,0.206
695,0.527
696,0.154
697,0.366
698,0.107
699,0.293
700,0.105
701,0.082
702,0.11
703,0.137
704,0.115
705,0.0818
706,0.216
707,0.179
708,0.221
709,0.114
710,0.124
711,0.489
712,0.216
713,0.0818
714,0.1
715,0.163
716,0.247
717,0.156
718,0.126
719,0.218
720,0.121
721,0.169
722,0.135
723,0.167
724,0.162
725,0.114
726,0.0994
727,0.139
728,0.195
729,0.196
730,0.0729
731,0.0994
732,0.717
733,0.859
734,0.0902
735,0.139
736,0.129
737,0.0668
738,0.124
739,0.106
740,0.374
741,0.111
742,0.247
743,0.342
744,0.181
745,0.118
746,0.158
747,0.368
748,0.345
749,0.568
750,0.167
751,0.372
752,0.111
753,0.126
754,0.144
755,0.08
756,0.534
757,0.382
758,0.0924
759,0.195
760,0.255
761,0.0591
762,0.101
763,0.14
764,0.149
765,0.129
766,0.198
767,0.408
768,0.109
769,0.281
770,0.254
771,0.194
772,0.172
773,0.477
774,0.103
775,0.0998
776,0.296
777,0.197
778,0.156
779,0.189
780,0.0958
781,0.0888
782,0.101
783,0.109
784,0.146
785,0.108
786,0.33
787,0.35
788,0.13
789,0.241
