,popularity
534,41.0
535,62.0
536,51.0
537,53.0
538,56.0
539,58.0
540,80.0
541,46.0
542,61.0
543,60.0
544,72.0
545,73.0
546,79.0
547,72.0
548,86.0
549,69.0
550,53.0
551,
552,76.0
553,67.0
554,57.0
555,45.0
556,33.0
557,64.0
558,59.0
559,66.0
560,72.0
561,80.0
562,81.0
563,72.0
564,58.0
565,73.0
566,65.0
567,52.0
568,81.0
569,61.0
570,81.0
571,68.0
572,79.0
573,61.0
574,78.0
575,78.0
576,66.0
577,54.0
578,53.0
579,55.0
580,50.0
581,65.0
582,39.0
583,60.0
584,69.0
585,85.0
586,54.0
587,59.0
588,79.0
589,64.0
590,75.0
591,79.0
592,51.0
593,79.0
594,73.0
595,64.0
596,62.0
597,61.0
598,40.0
599,73.0
600,65.0
601,63.0
602,42.0
603,72.0
604,44.0
605,53.0
606,46.0
607,53.0
608,49.0
609,55.0
610,69.0
611,43.0
612,69.0
613,64.0
614,71.0
615,44.0
616,71.0
617,66.0
618,65.0
619,53.0
620,86.0
621,70.0
622,70.0
623,51.0
624,70.0
625,69.0
626,49.0
627,56.0
628,69.0
629,26.0
630,50.0
631,73.0
632,53.0
633,75.0
634,75.0
635,61.0
636,73.0
637,55.0
638,28.0
639,62.0
640,72.0
641,85.0
642,69.0
643,59.0
644,54.0
645,79.0
646,58.0
647,64.0
648,56.0
649,60.0
650,76.0
651,62.0
652,77.0
653,67.0
654,70.0
655,73.0
656,76.0
657,70.0
658,50.0
659,62.0
660,73.0
661,83.0
662,51.0
663,70.0
664,57.0
665,83.0
666,73.0
667,80.0
668,57.0
669,29.0
670,71.0
671,62.0
672,84.0
673,61.0
674,
675,32.0
676,37.0
677,69.0
678,66.0
679,72.0
680,65.0
681,68.0
682,50.0
683,81.0
684,40.0
685,74.0
686,60.0
687,
688,65.0
689,60.0
690,50.0
691,72.0
692,63.0
693,54.0
694,54.0
695,52.0
696,69.0
697,53.0
698,77.0
699,52.0
700,78.0
701,56.0
702,76.0
703,71.0
704,72.0
705,39.0
706,34.0
707,72.0
708,80.0
709,61.0
710,68.0
711,53.0
712,34.0
713,39.0
714,83.0
715,79.0
716,78.0
717,56.0
718,54.0
719,62.0
720,45.0
721,53.0
722,64.0
723,76.0
724,67.0
725,80.0
726,26.0
727,54.0
728,74.0
729,82.0
730,65.0
731,26.0
732,73.0
733,35.0
734,47.0
735,54.0
736,80.0
737,64.0
738,52.0
739,52.0
740,60.0
741,81.0
742,78.0
743,73.0
744,64.0
745,45.0
746,78.0
747,66.0
748,55.0
749,61.0
750,76.0
751,57.0
752,51.0
753,52.0
754,61.0
755,57.0
756,84.0
757,70.0
758,80.0
759,54.0
760,50.0
761,57.0
762,86.0
763,74.0
764,61.0
765,62.0
766,66.0
767,85.0
768,53.0
769,74.0
770,67.0
771,64.0
772,69.0
773,71.0
774,72.0
775,53.0
776,78.0
777,61.0
778,65.0
779,51.0
780,84.0
781,76.0
782,62.0
783,58.0
784,64.0
785,75.0
786,65.0
787,81.0
788,37.0
789,59.0
790,61.0
791,70.0
792,86.0
793,79.0
794,78.0
795,72.0
796,45.0
797,70.0
798,66.0
799,63.0
800,72.0
801,65.0
802,54.0
803,52.0
804,58.0
805,67.0
806,65.0
807,63.0
808,33.0
809,74.0
810,70.0
811,53.0
812,76.0
813,63.0
814,57.0
815,68.0
816,58.0
817,80.0
818,42.0
819,69.0
820,76.0
821,77.0
822,56.0
823,44.0
824,80.0
825,82.0
826,71.0
827,71.0
828,52.0
829,83.0
830,75.0
831,52.0
832,53.0
833,75.0
834,78.0
835,86.0
836,51.0
837,47.0
838,
839,81.0
840,61.0
841,60.0
842,60.0
843,39.0
844,60.0
845,69.0
846,66.0
847,65.0
848,52.0
849,85.0
850,
851,56.0
852,69.0
853,74.0
854,66.0
855,71.0
856,70.0
857,77.0
858,27.0
859,
860,55.0
861,58.0
862,46.0
863,49.0
864,71.0
865,44.0
866,54.0
867,54.0
868,70.0
869,59.0
870,66.0
871,73.0
872,85.0
873,56.0
874,61.0
875,81.0
876,77.0
877,62.0
878,76.0
879,54.0
880,76.0
881,51.0
882,63.0
883,81.0
884,54.0
885,73.0
886,70.0
887,51.0
888,40.0
889,57.0
890,40.0
891,48.0
892,81.0
893,74.0
894,74.0
895,47.0
896,65.0
897,76.0
898,64.0
899,73.0
900,50.0
901,79.0
902,73.0
903,78.0
904,39.0
905,83.0
906,69.0
907,70.0
908,55.0
909,4.0
910,49.0
911,66.0
912,64.0
913,42.0
914,62.0
915,55.0
916,58.0
917,61.0
918,79.0
919,78.0
920,36.0
921,78.0
922,61.0
923,56.0
924,66.0
925,70.0
926,70.0
927,87.0
928,70.0
929,76.0
930,72.0
931,71.0
932,75.0
933,40.0
934,68.0
935,87.0
936,38.0
937,53.0
938,68.0
939,76.0
940,46.0
941,78.0
942,70.0
943,72.0
944,69.0
945,80.0
946,62.0
947,48.0
948,62.0
949,58.0
950,57.0
951,55.0
952,84.0
953,68.0
954,58.0
955,57.0
956,67.0
957,61.0
958,63.0
959,40.0
960,69.0
961,53.0
962,73.0
963,85.0
964,63.0
965,54.0
966,71.0
967,56.0
968,60.0
969,71.0
970,57.0
971,57.0
972,78.0
973,76.0
974,78.0
975,74.0
976,62.0
977,53.0
978,48.0
979,82.0
980,73.0
981,51.0
982,61.0
983,79.0
984,74.0
985,63.0
986,67.0
987,
988,78.0
989,68.0
990,59.0
991,79.0
992,68.0
993,74.0
994,69.0
995,58.0
996,44.0
997,51.0
998,70.0
999,82.0
1000,50.0
1001,55.0
1002,82.0
1003,
1004,52.0
1005,64.0
1006,56.0
1007,68.0
1008,76.0
1009,57.0
1010,59.0
1011,71.0
1012,5.0
1013,80.0
1014,70.0
1015,25.0
1016,53.0
1017,72.0
1018,68.0
1019,73.0
1020,70.0
1021,71.0
1022,65.0
1023,79.0
1024,62.0
1025,84.0
1026,71.0
1027,61.0
1028,52.0
1029,80.0
1030,49.0
1031,74.0
1032,49.0
1033,69.0
1034,63.0
1035,67.0
1036,77.0
1037,51.0
1038,54.0
1039,75.0
1040,65.0
1041,60.0
1042,67.0
1043,81.0
1044,70.0
1045,56.0
1046,71.0
1047,60.0
1048,87.0
1049,62.0
1050,72.0
1051,63.0
1052,66.0
1053,77.0
1054,27.0
1055,58.0
1056,60.0
1057,67.0
1058,70.0
1059,73.0
1060,63.0
1061,63.0
1062,73.0
1063,69.0
1064,70.0
1065,71.0
1066,66.0
1067,66.0
1068,37.0
1069,64.0
1070,78.0
1071,63.0
1072,58.0
1073,73.0
1074,61.0
1075,62.0
1076,53.0
1077,57.0
1078,57.0
1079,52.0
1080,63.0
1081,67.0
1082,45.0
1083,56.0
1084,61.0
1085,78.0
1086,70.0
1087,50.0
1088,62.0
1089,68.0
1090,75.0
1091,56.0
1092,85.0
1093,66.0
1094,29.0
1095,87.0
1096,44.0
1097,62.0
1098,56.0
1099,75.0
1100,51.0
1101,62.0
1102,72.0
1103,54.0
1104,57.0
1105,77.0
1106,76.0
1107,78.0
1108,71.0
1109,45.0
1110,62.0
1111,83.0
1112,76.0
1113,77.0
1114,61.0
1115,78.0
1116,59.0
1117,78.0
1118,70.0
1119,70.0
1120,53.0
1121,46.0
1122,63.0
1123,80.0
1124,76.0
1125,40.0
1126,63.0
1127,83.0
1128,52.0
1129,85.0
1130,1.0
1131,66.0
1132,66.0
1133,60.0
1134,69.0
1135,58.0
1136,64.0
1137,69.0
1138,55.0
1139,47.0
1140,78.0
1141,36.0
1142,81.0
1143,59.0
1144,81.0
1145,52.0
1146,1.0
1147,61.0
1148,79.0
1149,44.0
1150,62.0
1151,72.0
1152,71.0
1153,4.0
1154,83.0
1155,62.0
1156,68.0
1157,62.0
1158,54.0
1159,72.0
1160,79.0
1161,68.0
1162,69.0
1163,61.0
1164,73.0
1165,52.0
1166,44.0
1167,55.0
1168,54.0
1169,52.0
1170,67.0
1171,43.0
1172,67.0
1173,66.0
1174,79.0
1175,59.0
1176,52.0
1177,62.0
1178,80.0
1179,78.0
1180,64.0
1181,78.0
1182,66.0
1183,76.0
1184,78.0
1185,81.0
1186,66.0
1187,84.0
1188,26.0
1189,70.0
1190,68.0
1191,63.0
1192,61.0
1193,56.0
1194,59.0
1195,61.0
1196,69.0
1197,76.0
1198,46.0
1199,76.0
1200,87.0
1201,79.0
1202,54.0
1203,64.0
1204,75.0
1205,57.0
1206,65.0
1207,59.0
1208,55.0
1209,64.0
1210,66.0
1211,38.0
1212,76.0
1213,56.0
1214,88.0
1215,
1216,76.0
1217,64.0
1218,61.0
1219,65.0
1220,71.0
1221,81.0
1222,62.0
1223,47.0
1224,68.0
1225,78.0
1226,68.0
1227,79.0
1228,78.0
1229,79.0
1230,68.0
1231,53.0
1232,76.0
1233,52.0
1234,52.0
1235,87.0
1236,54.0
1237,56.0
1238,56.0
1239,53.0
1240,90.0
1241,86.0
1242,62.0
1243,68.0
1244,50.0
1245,61.0
1246,67.0
1247,52.0
1248,65.0
1249,66.0
1250,76.0
1251,62.0
1252,82.0
1253,57.0
1254,51.0
1255,59.0
1256,44.0
1257,72.0
1258,80.0
1259,70.0
1260,73.0
1261,53.0
1262,57.0
1263,53.0
1264,64.0
1265,74.0
1266,54.0
1267,50.0
1268,76.0
1269,38.0
1270,65.0
1271,63.0
1272,74.0
1273,51.0
1274,61.0
1275,76.0
1276,72.0
1277,59.0
1278,51.0
1279,72.0
1280,56.0
1281,81.0
1282,73.0
1283,64.0
1284,81.0
1285,67.0
1286,82.0
1287,68.0
1288,73.0
1289,54.0
1290,82.0
1291,67.0
1292,73.0
1293,61.0
1294,7.0
1295,76.0
1296,76.0
1297,81.0
1298,61.0
1299,76.0
1300,63.0
1301,76.0
1302,69.0
1303,67.0
1304,62.0
1305,79.0
1306,58.0
1307,53.0
1308,53.0
1309,74.0
1310,55.0
1311,52.0
1312,76.0
1313,81.0
1314,71.0
1315,50.0
1316,47.0
1317,70.0
1318,45.0
1319,72.0
1320,85.0
1321,72.0
1322,76.0
1323,69.0
1324,75.0
1325,52.0
1326,
1327,70.0
1328,70.0
1329,78.0
1330,58.0
1331,56.0
1332,56.0
1333,80.0
1334,78.0
1335,81.0
1336,48.0
1337,80.0
1338,74.0
1339,70.0
1340,72.0
1341,73.0
1342,74.0
1343,73.0
1344,57.0
1345,55.0
1346,74.0
1347,64.0
1348,72.0
1349,70.0
1350,63.0
1351,79.0
1352,64.0
1353,64.0
1354,81.0
1355,81.0
1356,44.0
1357,59.0
1358,81.0
1359,59.0
1360,46.0
1361,77.0
1362,63.0
1363,63.0
1364,80.0
1365,58.0
1366,67.0
1367,67.0
1368,69.0
1369,69.0
1370,68.0
1371,17.0
1372,60.0
1373,56.0
1374,63.0
1375,78.0
1376,68.0
1377,67.0
1378,53.0
1379,56.0
1380,60.0
1381,69.0
1382,78.0
1383,77.0
1384,58.0
1385,77.0
1386,55.0
1387,54.0
1388,73.0
1389,70.0
1390,70.0
1391,78.0
1392,72.0
1393,52.0
1394,51.0
1395,67.0
1396,80.0
1397,56.0
1398,52.0
1399,73.0
1400,57.0
1401,86.0
1402,64.0
1403,69.0
1404,75.0
1405,62.0
1406,78.0
1407,59.0
1408,62.0
1409,56.0
1410,50.0
1411,75.0
1412,45.0
1413,79.0
1414,58.0
1415,79.0
1416,61.0
1417,68.0
1418,61.0
1419,79.0
1420,75.0
1421,61.0
1422,61.0
1423,51.0
1424,41.0
1425,
1426,63.0
1427,44.0
1428,53.0
1429,60.0
1430,84.0
1431,59.0
1432,64.0
1433,87.0
1434,64.0
1435,
1436,53.0
1437,78.0
1438,78.0
1439,88.0
1440,
1441,61.0
1442,62.0
1443,54.0
1444,35.0
1445,
1446,78.0
1447,54.0
1448,54.0
1449,81.0
1450,76.0
1451,73.0
1452,64.0
1453,80.0
1454,82.0
1455,63.0
1456,72.0
1457,61.0
1458,70.0
1459,72.0
1460,79.0
1461,78.0
1462,78.0
1463,56.0
1464,73.0
1465,56.0
1466,61.0
1467,49.0
1468,65.0
1469,72.0
1470,59.0
1471,63.0
1472,67.0
1473,81.0
1474,62.0
1475,70.0
1476,75.0
1477,81.0
1478,80.0
1479,79.0
1480,71.0
1481,67.0
1482,52.0
1483,44.0
1484,72.0
1485,43.0
1486,51.0
1487,61.0
1488,74.0
1489,58.0
1490,76.0
1491,72.0
1492,70.0
1493,68.0
1494,55.0
1495,67.0
1496,67.0
1497,70.0
1498,53.0
1499,63.0
1500,72.0
1501,52.0
1502,48.0
1503,41.0
1504,66.0
1505,62.0
1506,62.0
1507,55.0
1508,65.0
1509,61.0
1510,76.0
1511,65.0
1512,55.0
1513,57.0
1514,48.0
1515,55.0
1516,81.0
1517,44.0
1518,74.0
1519,82.0
1520,59.0
1521,40.0
1522,73.0
1523,73.0
1524,59.0
1525,68.0
1526,82.0
1527,
1528,64.0
1529,63.0
1530,75.0
1531,56.0
1532,61.0
1533,44.0
1534,66.0
1535,66.0
1536,70.0
1537,53.0
1538,55.0
1539,42.0
1540,76.0
1541,56.0
1542,81.0
1543,47.0
1544,61.0
1545,49.0
1546,65.0
1547,58.0
1548,83.0
1549,78.0
1550,78.0
1551,71.0
1552,69.0
1553,57.0
1554,68.0
1555,79.0
1556,72.0
1557,79.0
1558,78.0
1559,19.0
1560,39.0
1561,53.0
1562,72.0
1563,56.0
1564,
1565,46.0
1566,79.0
1567,62.0
1568,51.0
1569,75.0
1570,37.0
1571,69.0
1572,72.0
1573,67.0
1574,64.0
1575,64.0
1576,77.0
1577,44.0
1578,44.0
1579,47.0
1580,61.0
1581,53.0
1582,80.0
1583,60.0
1584,27.0
1585,57.0
1586,54.0
1587,65.0
1588,38.0
1589,48.0
1590,66.0
1591,78.0
1592,79.0
1593,73.0
1594,60.0
1595,64.0
1596,60.0
1597,67.0
1598,84.0
1599,64.0
1600,74.0
1601,73.0
1602,64.0
1603,71.0
1604,62.0
1605,63.0
1606,83.0
1607,76.0
1608,70.0
1609,70.0
1610,84.0
1611,68.0
1612,70.0
1613,72.0
1614,66.0
1615,80.0
1616,68.0
1617,79.0
1618,79.0
1619,80.0
1620,72.0
1621,54.0
1622,29.0
1623,37.0
1624,82.0
1625,70.0
1626,65.0
1627,66.0
1628,40.0
1629,54.0
1630,66.0
1631,40.0
1632,53.0
1633,57.0
1634,57.0
1635,82.0
1636,76.0
1637,87.0
1638,60.0
1639,61.0
1640,63.0
1641,53.0
1642,19.0
1643,48.0
1644,69.0
1645,44.0
1646,44.0
1647,70.0
1648,81.0
1649,29.0
1650,63.0
1651,52.0
1652,52.0
1653,76.0
1654,
1655,64.0
1656,63.0
1657,59.0
1658,40.0
1659,82.0
1660,86.0
1661,73.0
1662,80.0
1663,62.0
1664,53.0
1665,85.0
1666,70.0
1667,61.0
1668,73.0
1669,77.0
1670,5.0
1671,68.0
1672,53.0
1673,65.0
1674,70.0
1675,1.0
1676,81.0
1677,68.0
1678,68.0
1679,33.0
1680,68.0
1681,64.0
1682,53.0
1683,79.0
1684,61.0
1685,58.0
1686,77.0
1687,56.0
1688,59.0
1689,76.0
1690,65.0
1691,63.0
1692,44.0
1693,45.0
1694,43.0
1695,70.0
1696,53.0
1697,26.0
1698,80.0
1699,70.0
1700,32.0
1701,87.0
1702,70.0
1703,53.0
1704,53.0
1705,70.0
1706,73.0
1707,83.0
1708,75.0
1709,57.0
1710,79.0
1711,62.0
1712,70.0
1713,62.0
1714,67.0
1715,56.0
1716,55.0
1717,62.0
1718,56.0
1719,63.0
1720,55.0
1721,76.0
1722,54.0
1723,40.0
1724,70.0
1725,59.0
1726,69.0
1727,63.0
1728,86.0
1729,61.0
1730,66.0
1731,78.0
1732,76.0
1733,19.0
1734,84.0
1735,82.0
1736,71.0
1737,57.0
1738,66.0
