,tempo
534,148.088
535,142.039
536,75.422
537,146.976
538,143.027
539,136.025
540,100.541
541,148.991
542,129.978
543,126.073
544,84.281
545,84.143
546,146.034
547,150.133
548,161.989
549,129.983
550,155.02
551,
552,121.845
553,179.913
554,153.028
555,146.009
556,140.02
557,94.994
558,134.021
559,118.003
560,142.046
561,97.062
562,163.935
563,151.987
564,127.931
565,130.009
566,82.309
567,140.053
568,122.947
569,139.833
570,142.037
571,126.002
572,146.034
573,170.067
574,99.993
575,123.066
576,138.024
577,158.424
578,157.083
579,160.003
580,86.882
581,83.964
582,82.52
583,126.94
584,104.998
585,159.966
586,140.039
587,150.008
588,88.834
589,87.009
590,132.113
591,79.992
592,135.056
593,93.372
594,150.024
595,159.949
596,158.043
597,154.983
598,128.083
599,82.996
600,95.031
601,147.982
602,139.958
603,79.993
604,135.038
605,78.025
606,157.016
607,140.084
608,128.225
609,129.956
610,140.071
611,81.922
612,85.042
613,87.15
614,128.045
615,74.999
616,160.113
617,117.072
618,99.026
619,139.974
620,159.801
621,95.074
622,119.099
623,91.344
624,160.414
625,163.882
626,130.012
627,143.975
628,170.115
629,125.994
630,140.058
631,132.055
632,77.542
633,80.032
634,135.984
635,123.028
636,136.919
637,79.48
638,149.909
639,122.0
640,167.909
641,131.036
642,111.983
643,135.033
644,161.707
645,78.477
646,130.024
647,142.086
648,124.09
649,140.987
650,153.848
651,139.891
652,166.162
653,74.017
654,160.414
655,149.231
656,154.187
657,171.921
658,81.465
659,145.059
660,125.03
661,93.431
662,81.012
663,122.08
664,131.888
665,109.004
666,140.002
667,124.08
668,99.977
669,89.853
670,162.956
671,135.005
672,123.146
673,159.517
674,
675,83.828
676,69.968
677,99.999
678,100.002
679,141.967
680,112.985
681,98.986
682,139.954
683,170.163
684,120.033
685,124.887
686,87.955
687,
688,135.034
689,142.977
690,139.911
691,119.054
692,147.984
693,80.225
694,179.974
695,80.972
696,105.25
697,133.053
698,128.063
699,118.869
700,81.404
701,140.023
702,130.003
703,134.979
704,118.037
705,89.984
706,154.943
707,142.04
708,77.497
709,140.078
710,155.007
711,141.037
712,154.943
713,89.984
714,80.015
715,143.477
716,123.066
717,136.982
718,97.988
719,100.003
720,150.059
721,127.981
722,142.086
723,140.055
724,160.085
725,140.958
726,84.894
727,142.007
728,154.981
729,143.95
730,83.964
731,84.894
732,175.046
733,89.875
734,130.985
735,142.007
736,142.948
737,103.974
738,80.064
739,139.867
740,126.94
741,140.042
742,123.066
743,82.996
744,87.009
745,97.988
746,80.082
747,136.052
748,160.003
749,131.194
750,140.055
751,129.93
752,104.11
753,135.001
754,129.02
755,129.993
756,112.511
757,75.491
758,98.043
759,143.038
760,76.01
761,131.888
762,89.977
763,120.08
764,164.005
765,81.114
766,138.024
767,142.094
768,153.899
769,79.745
770,84.902
771,102.456
772,104.998
773,177.997
774,177.978
775,127.991
776,147.899
777,76.997
778,137.945
779,154.976
780,150.011
781,121.845
782,160.051
783,100.015
784,140.042
785,141.99
786,140.013
787,162.991
788,127.956
789,116.84
790,132.01
791,135.995
792,88.964
793,146.034
794,150.007
795,111.959
796,147.002
797,94.577
798,149.935
799,102.91
800,123.035
801,82.309
802,77.511
803,140.053
804,121.082
805,191.971
806,110.953
807,140.057
808,155.87
809,108.003
810,171.921
811,139.084
812,131.05
813,118.836
814,141.037
815,173.996
816,130.064
817,140.0
818,130.169
819,139.952
820,111.519
821,117.003
822,143.027
823,146.084
824,100.541
825,124.987
826,86.009
827,160.052
828,130.032
829,80.015
830,168.983
831,80.064
832,123.189
833,132.113
834,145.914
835,165.995
836,76.069
837,125.008
838,
839,126.77
840,169.969
841,95.017
842,84.022
843,164.974
844,140.04
845,132.906
846,136.052
847,148.058
848,139.086
849,116.971
850,
851,145.884
852,138.015
853,124.991
854,130.09
855,130.029
856,145.063
857,170.142
858,163.104
859,
860,123.951
861,146.036
862,146.129
863,128.225
864,87.998
865,74.999
866,139.976
867,142.007
868,135.995
869,124.018
870,118.981
871,130.009
872,155.008
873,150.055
874,144.998
875,82.433
876,192.099
877,173.369
878,162.005
879,143.038
880,158.896
881,103.956
882,170.004
883,163.935
884,125.009
885,147.026
886,81.541
887,75.422
888,120.012
889,137.981
890,128.083
891,138.049
892,142.037
893,120.08
894,105.95
895,132.947
896,112.985
897,151.894
898,87.15
899,140.007
900,121.949
901,146.034
902,132.055
903,120.046
904,75.012
905,100.007
906,136.97
907,127.051
908,134.923
909,149.499
910,78.021
911,118.012
912,140.042
913,129.992
914,161.042
915,79.48
916,123.964
917,135.679
918,151.951
919,128.012
920,128.033
921,128.981
922,91.035
923,93.016
924,110.573
925,75.491
926,160.414
927,130.049
928,153.131
929,129.874
930,195.918
931,160.042
932,168.197
933,134.867
